# dwm keybindings (read by ~/.config/suckless/scripts/help)
# GENERATED by scripts/gen-keybinds from the annotated keys[] table in
# config.def.h — edit the trailing comments there, not this file.
# Format: key<TAB>description.  Sections marked by  # === NAME ===
# Pin syntax: prefix description with "!" to render at top of its section.
# sxhkd-launched apps live in sxhkd/sxhkdrc; this file is dwm-internal only.

# === Edição Básica ===
C-x C-s  	 Salvar buffer
C-x C-c  	 Sair do Emacs
C-g      	 Cancelar comando atual
C-/      	 Desfazer
C-k      	 Cortar linha
C-y      	 Colar (yank)
M-w      	 Copiar
C-w      	 Cortar
C-space  	 Definir marca

# === Navegação ===
C-v 	 Página para baixo
M-v 	 Página para cima
M-< 	 Início do buffer
M-> 	 Fim do buffer
C-f 	 Avançar caractere
C-b 	 Voltar caractere
M-f 	 Avançar palavra
M-b 	 Voltar palavra

# === Buffers & Janelas ===
C-x b     	 Mudar buffer
C-x k     	 Fechar buffer
C-x C-b   	 Listar buffers
C-x ←/→   	 Buffer anterior/próximo
C-x 2     	 Dividir verticalmente
C-x 3     	 Dividir horizontalmente
C-x o     	 Mudar janela
C-x 0     	 Fechar janela
C-x 1     	 Fechar outras janelas

# === Arquivos ===
C-x C-f   	 Abrir arquivo
C-x C-s   	 Salvar buffer
C-x C-w   	 Salvar como


# === Busca & Substituição ===
C-s   	 Buscar para frente
C-r   	 Buscar para trás
M-%   	 Substituir interativamente
C-S-s 	 Busca Swiper


# === Ajuda & Documentação ===
C-h k     	 Descrever tecla
C-h f     	 Descrever função
C-h v     	 Descrever variável

# === Personalização ===
M-x package-install 	 Instalar pacote
M-x list-packages   	 Listar pacotes
M-x customize       	 Personalizar Emacs

# === Macros ===
C-x (     	 Iniciar macro
C-x )     	 Terminar macro
C-x e     	 Executar macro

# === Pdf ===
M-x +   - Zoom +
M-x -   - Zoom -

# === Org-mode ===
C-c C-t   	 Alternar TODO
C-c C-d   	 Definir deadline
C-c C-s   	 Agendar
C-c C-c   	 Executar comando
C-c C-o   	Abrir link
