# dwm keybindings (read by ~/.config/suckless/scripts/help)
# GENERATED by scripts/gen-keybinds from the annotated keys[] table in
# config.def.h — edit the trailing comments there, not this file.
# Format: key<TAB>description.  Sections marked by  # === NAME ===
# Pin syntax: prefix description with "!" to render at top of its section.
# sxhkd-launched apps live in sxhkd/sxhkdrc; this file is dwm-internal only.

# === HELP ===
Super + space            	!Rofi help dwm
Super + Shift + space    	Rofi help mouse dwm
Super + Alt   + space    	Rofi help emacs

# === LAUNCH ===
Super + Shift + Return	!Terminal (st)
Super + p	            Launch Programs (Dmenu_run)
Super + d	            Launch Programs (Rofi)
Super + w	            Launch Web Browser (Firefox)
Super + e	            Launch Emacs
Super + f	            Launch Thunar
Super + v	            Launch Copyq
Super + Shift + d	    Launch Scripts Dmenu


# === WINDOW ===
Super + q	                !Close focused window
Super + j	                Focus next window
Super + k	                Focus previous window
Super + Left	            Focus previous window
Super + Right	            Focus next window
Super + Control + j	    Move window down in stack
Super + Control + k	    Move window up in stack
Super + Left	            Move window up in stack
Super + Right	            Move window down in stack
Super + Tab	            Toggle previous tag
Super + Shift + space	    Toggle floating
Super + b	                Toggle bar
Super + h	                !Resize: shrink master / shrink column
Super + l	                !Resize: grow master / grow column
Super + Shift + Left	    !Resize: shrink master / shrink column
Super + Shift + Right	    !Resize: grow master / grow column
Super + Shift + Up	        !Resize: shrink master / shrink column
Super + Shift + Down	    !Resize: grow master / grow column
Super + Shift + o	        Reset master + column factors
Super + equals	            Master count +1
Super + minus	            Master count -1
Super + Control + z	    Toggle hide all
Super + Control + s	    Unhide all
Super + Enter	            Toggle zoom master

# === TABS ===
Super + t	                !Create tab on focus app
Super + Control + t	    remove app from tab
Control + Shift + l	        Focus next tab
Control + Shift + Right	    Focus next tab
Control + Shift + h	        Focus previous tab
Control + Shift + Left	    Focus previous tab
Control + Shift + j	        Move tab previous position
Control + Shift + k	        Move tab next position
Control + Tab	            Focus next tab
Control + Apostrophe	    Dmenu Tabs list
Control + q 	            Close Tab
Control + 1...9 	        Jumps to number tab
F11	                    Toggle Fullscreen
Alt + Shift + Return 	    Open St in new Tab

# === LAYOUT ===
Super + F1	                !Layout:  []= tile
Super + F2	                Layout:  ><> floating
Super + F3	                Layout:  [M] monocle
Super + F4	                Layout:  TTT bstack
Super + F5	                Layout:  === bstackhoriz
Super + F6	                Layout:  |M| centered master
Super + F7	                Layout:  >M> centered floating master
Super + F8	                Layout:  ||| col
Super + F9	                Layout:  [D] deck
Super + F10	            Layout:  (@) spiral
Super + F11	            Layout:  [\\] dwindle
Super + F12	            Layout:  HHH grid
Super + Shift + F1	        Layout:  --- horizgrid
Super + Shift + F2	        Layout:  ::: gaplessgrid
Super + Shift + F3	        Layout:  ### nrowgrid
Control + Alt + minus	    Cicle Layout
Control + Alt + equals	    Cicle Layout

# === TAGS ===
Super + 1..9	                    !View tag 1..9
Super + Shift + 1..9	            Send focused window to tag
Super + Ctrl + 1..9	            Toggle tag visibility
Super + Ctrl + Shift + 1..9	    Toggle window on tag
Super + 0	                        View all tags (1..9)
Super + Shift + 0	                Send focused window to all tags (1..9)
Alt + Ctrl + Left	                Send window to previous tag
Alt + Ctrl + Right	                Send window to next tag

# === MONITOR ===
Super + ,	            Focus previous monitor
Super + .	            Focus next monitor
Super + Shift + ,	    Send window to previous monitor
Super + Shift + .	    Send window to next monitor

# === SCRATCHPAD ===
Control + Alt + s   	!Toggle scratchpad (st)
Control + Alt + c   	Toggle qalculate
Control + Alt + v   	Toggle audio (pulsemixer)
Control + Alt + b   	Toggle bitwarden
Control + Alt + n   	Toggle wifi (nmtui)
Control + Alt + m   	Toggle music (rmpc)
Control + Alt + w   	Toggle Whatsapp

# === GAPS ===
Control + Alt + 0           	!Toggle gaps on/off
Control + Alt + Shift + 0   	Reset gaps to defaults
Control + Alt + 1           	Increase all gaps
Control + Alt + Shift + 1   	Decrease all gaps
Control + Alt + 2           	Increase inner gaps
Control + Alt + Shift + 2   	Decrease inner gaps
Control + Alt + 3           	Increase outer gaps
Control + Alt + Shift + 3   	Decrease outer gaps
Control + Alt + 4           	Inner horizontal gap +1
Control + Alt + Shift + 4   	Inner horizontal gap -1
Control + Alt + 5           	Inner vertical gap +1
Control + Alt + Shift + 5   	Inner vertical gap -1
Control + Alt + 6           	Outer horizontal gap +1
Control + Alt + Shift + 6   	Outer horizontal gap -1
Control + Alt + 7           	Outer vertical gap +1
Control + Alt + Shift + 7   	Outer vertical gap -1

# === SYSTEM ===
Super + r           	!Restart dwm (preserves tags/windows)
Super + Shift + e   	Exit dwm
Super + Shift + q   	Quit dwm
Super + Shift + F5  	Reload Xresources
Control + Alt + l   	Block session (slock)
Super + Shift + k   	Change layout keyboard (br <-> us)
Super + c           	Toggle conky
Control + Shift + p 	Dmenu Pass
Super + Shift + m   	Dmenu monitor control
Super + Shift + t   	Dmenu theme control
Super + Shift + t   	Dmenu vpn control
Super + Shift + p   	Dmenu pomodoro control
Super + Shift + c   	Dmenu docker control
Super + Shift + b   	Dmenu bookmarks control

# === SOUND AND MIC ===
XF86XK_AudioLowerVolume           	!Volume decrease by 5
XF86XK_AudioRaiseVolume           	Volume Increase by 5
XF86XK_AudioMute                  	Mute volume
Super + XF86XK_AudioLowerVolume   	!Microphone decrease by 5
Super + XF86XK_AudioRaiseVolume   	Microphone Increase by 5
Super + XF86XK_AudioMute          	Mute microphone
Super + Shift + a                 	Dmenu control audio

# === Players ===
XF86XK_AudioPlay           	!Toggle Play/Pause Player
XF86XK_AudioStop           	Stop Player
XF86XK_AudioPrev           	Previous track/video player
XF86XK_AudioNext           	Next track/video player

# === Brightness ===
XF86XK_MonBrightnessUp     	!Up brightness monitor by 5
XF86XK_MonBrightnessDown   	Down brightness monitor by 5

# === Printscreen ===
Print               	!Print with select area
Super + Shift + s   	Print with select area

