# dwm keybindings (read by ~/.config/suckless/scripts/help)
# GENERATED by scripts/gen-keybinds from the annotated keys[] table in
# config.def.h — edit the trailing comments there, not this file.
# Format: key<TAB>description.  Sections marked by  # === NAME ===
# Pin syntax: prefix description with "!" to render at top of its section.
# sxhkd-launched apps live in sxhkd/sxhkdrc; this file is dwm-internal only.

# === LAUNCH ===
Super + Return !Terminal (kitty)
Super + p dmenu_run

# === WINDOW ===
Super + q	            !Close focused window
Super + j	            Focus next window
Super + k	            Focus previous window
Super + Left	        Focus previous window
Super + Right	        Focus next window
Super + Shift + j	    Move window down in stack
Super + Shift + k	Move window up in stack
Super + Shift + Left	Move window up in stack
Super + Shift + Right	Move window down in stack
Super + Tab	Toggle previous tag
Super + Shift + f	Toggle fullscreen
Super + Shift + space	Toggle floating
Super + y	Toggle sticky (show on all tags)
Super + n	Toggle window-follow on tag/monitor change
Super + Ctrl + b	Toggle bar
Super + apostrophe	Window switcher (rofi, all tags/monitors)

# === LAYOUT ===
Super + h	!Resize: shrink master / shrink column
Super + l	!Resize: grow master / grow column
Super + Ctrl + Left	Resize: shrink (layout-aware)
Super + Ctrl + Right	Resize: grow (layout-aware)
Super + semicolon	Reset master + column factors
Super + Alt + Tab	Master count +1
Super + Alt + Shift + Tab	Master count -1
Shift + Ctrl + 1	Layout: dwindle
Shift + Ctrl + 2	Layout: tile
Shift + Ctrl + 3	Layout: columns (cfact-weighted)
Shift + Ctrl + 4	Layout: centered master
Shift + Ctrl + 5	Layout: floating
Shift + Ctrl + 6	Layout: bstack
Shift + Ctrl + 7	Layout: nrowgrid
Shift + Ctrl + 8	Layout: deck
Shift + Ctrl + 9	Layout: gaplessgrid
Shift + Ctrl + 0	Layout: spiral
Shift + Ctrl + minus	Layout: monocle
Shift + Ctrl + equal	Layout: grid

# === TAGS ===
Super + 1..9, 0, -, =	!View tag 1..12
Super + Shift + 1..=	Send focused window to tag
Super + Ctrl + 1..=	Toggle tag visibility
Super + Ctrl + Shift + 1..=	Toggle window on tag
Ctrl + Shift + Left	View previous tag
Ctrl + Shift + Right	View next tag
Alt + Ctrl + Left	Send window to previous tag
Alt + Ctrl + Right	Send window to next tag

# === MONITOR ===
Super + ,	Focus previous monitor
Super + .	Focus next monitor
Super + Shift + ,	Send window to previous monitor
Super + Shift + .	Send window to next monitor

# === SCRATCHPAD ===
Super + grave	!Toggle scratchpad (kitty)
Super + v	Toggle pulsemixer
Super + Alt + 1..9	Toggle named scratch slot 1..9
Super + Alt + Shift + 1..9	Promote focused window into slot
Super + Alt + Shift + s	Promote focused window to scratchpad
Super + Alt + Shift + grave	Clear scratch state on focused window

# === GAPS ===
Super + Alt + 0	!Toggle gaps on/off
Super + Alt + Shift + 0	Reset gaps to defaults
Super + Alt + u	Increase all gaps
Super + Alt + Shift + u	Decrease all gaps
Super + Alt + i	Increase inner gaps
Super + Alt + Shift + i	Decrease inner gaps
Super + Alt + o	Increase outer gaps
Super + Alt + Shift + o	Decrease outer gaps
Super + Alt + 6	Inner horizontal gap +1
Super + Alt + Shift + 6	Inner horizontal gap -1
Super + Alt + 7	Inner vertical gap +1
Super + Alt + Shift + 7	Inner vertical gap -1
Super + Alt + 8	Outer horizontal gap +1
Super + Alt + Shift + 8	Outer horizontal gap -1
Super + Alt + 9	Outer vertical gap +1
Super + Alt + Shift + 9	Outer vertical gap -1

# === SYSTEM ===
Super + Shift + r	!Restart dwm (preserves tags/windows)
Super + Shift + q	Quit dwm
